,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bilma,18.69,12.92,304.91,45,95,2.68,NE,2020-07-31
1,Busselton,-33.65,115.33,280.37,89,78,2.1,AU,2020-07-31
2,Malchin,53.73,12.78,287.59,87,21,2.1,DE,2020-07-31
3,Itupiranga,-5.13,-49.33,299.15,57,5,1.12,BR,2020-07-31
4,Vardø,70.37,31.11,283.04,91,100,6.34,NO,2020-07-31
5,Karratha,-20.74,116.85,294.95,23,0,3.4,AU,2020-07-31
6,Malbork,54.04,19.03,287.04,100,1,3.51,PL,2020-07-31
7,Kerema,-7.96,145.78,298.25,69,89,4.03,PG,2020-07-31
8,Rikitea,-23.12,-134.97,296.54,84,100,4.27,PF,2020-07-31
9,Kloulklubed,7.04,134.26,299.15,94,90,2.6,PW,2020-07-31
10,New Norfolk,-42.78,147.06,283.71,75,99,0.89,AU,2020-07-31
11,Si Satchanalai,17.52,99.76,301.15,69,75,2.6,TH,2020-07-31
12,Vaini,-21.2,-175.2,295.15,73,75,4.6,TO,2020-07-31
13,Ushuaia,-54.8,-68.3,278.15,52,40,7.7,AR,2020-07-31
14,Susa,32.19,48.24,304.18,53,0,5.04,IR,2020-07-31
15,Bethel,41.37,-73.41,300.37,61,1,2.6,US,2020-07-31
16,Hilo,19.73,-155.09,301.15,61,90,4.1,US,2020-07-31
17,East London,-33.02,27.91,288.45,60,0,1.46,ZA,2020-07-31
18,Castro,-24.79,-50.01,283.62,94,43,2.82,BR,2020-07-31
19,Sitka,57.05,-135.33,302.15,30,1,4.1,US,2020-07-31
20,Albany,42.6,-73.97,301.48,53,10,1.83,US,2020-07-31
21,Mataura,-46.19,168.86,286.57,71,100,1.95,NZ,2020-07-31
22,Barrow,71.29,-156.79,277.15,80,90,2.1,US,2020-07-31
23,Mount Isa,-20.73,139.5,292.15,22,0,4.1,AU,2020-07-31
24,Sawākin,19.11,37.33,304.93,56,100,9.97,SD,2020-07-31
25,Itarema,-2.92,-39.92,298.56,77,51,6.14,BR,2020-07-31
26,Kavieng,-2.57,150.8,302.41,76,42,5.38,PG,2020-07-31
27,Cape Town,-33.93,18.42,285.37,100,0,1.0,ZA,2020-07-31
28,Pochutla,15.74,-96.47,306.15,55,20,2.08,MX,2020-07-31
29,Soyo,-6.13,12.37,294.98,84,1,2.62,AO,2020-07-31
30,Campo Grande,-20.44,-54.65,297.15,50,75,3.6,BR,2020-07-31
31,Kapaa,22.08,-159.32,302.15,66,40,7.2,US,2020-07-31
32,Hobart,-42.88,147.33,283.71,71,75,4.6,AU,2020-07-31
33,Tsimmerbude,54.67,20.13,290.15,88,75,5.0,RU,2020-07-31
34,Aklavik,68.22,-135.01,295.15,60,5,3.1,CA,2020-07-31
35,Puerto Ayora,-0.74,-90.35,294.26,85,94,2.24,EC,2020-07-31
36,Caravelas,-17.71,-39.25,294.39,86,59,4.73,BR,2020-07-31
37,Bluff,-46.6,168.33,283.97,87,100,1.92,NZ,2020-07-31
38,Bambanglipuro,-7.95,110.28,296.94,83,40,1.65,ID,2020-07-31
39,Donskoye,45.46,41.97,294.15,68,15,4.0,RU,2020-07-31
40,Cerţeşti,46.02,27.62,290.75,85,89,2.87,RO,2020-07-31
41,Bredasdorp,-34.53,20.04,280.15,93,0,0.5,ZA,2020-07-31
42,Atraulī,28.03,78.28,301.78,77,77,1.87,IN,2020-07-31
43,Aksu,41.12,80.26,296.99,28,21,1.15,CN,2020-07-31
44,Srednekolymsk,67.45,153.68,285.56,65,98,3.69,RU,2020-07-31
45,Half Moon Bay,37.46,-122.43,298.15,77,40,6.2,US,2020-07-31
46,Hobyo,5.35,48.53,298.05,75,3,12.26,SO,2020-07-31
47,Mar del Plata,-38.0,-57.56,282.59,86,0,1.34,AR,2020-07-31
48,Tasiilaq,65.61,-37.64,281.15,52,0,3.1,GL,2020-07-31
49,Chui,-33.7,-53.46,282.53,90,100,0.83,UY,2020-07-31
50,Avarua,-21.21,-159.78,296.15,60,5,1.5,CK,2020-07-31
51,Shuyskoye,59.37,41.03,283.11,96,33,0.36,RU,2020-07-31
52,Tharād,24.4,71.63,303.1,76,100,2.46,IN,2020-07-31
53,Severo-Kuril'sk,50.68,156.12,285.43,83,57,6.77,RU,2020-07-31
54,Punta Arenas,-53.15,-70.92,276.15,93,75,8.2,CL,2020-07-31
55,Sittwe,20.15,92.9,300.51,86,60,2.72,MM,2020-07-31
56,Thompson,55.74,-97.86,291.15,88,75,4.25,CA,2020-07-31
57,Acaraú,-2.89,-40.12,298.52,76,48,6.64,BR,2020-07-31
58,Yellowknife,62.46,-114.35,295.37,49,75,4.6,CA,2020-07-31
59,Udachny,66.42,112.4,291.74,51,0,2.48,RU,2020-07-31
60,Tuktoyaktuk,69.45,-133.04,289.15,77,40,5.7,CA,2020-07-31
61,Ahipara,-35.17,173.17,288.07,78,100,6.45,NZ,2020-07-31
62,Mahébourg,-20.41,57.7,294.15,83,20,3.1,MU,2020-07-31
63,Harbour Breton,47.48,-55.8,289.3,97,96,4.89,CA,2020-07-31
64,North Augusta,33.5,-81.97,307.15,55,1,3.6,US,2020-07-31
65,Port Alfred,-33.59,26.89,287.0,74,0,2.38,ZA,2020-07-31
66,Awjilah,29.11,21.29,299.68,49,0,7.27,LY,2020-07-31
67,Gimli,50.63,-96.99,297.04,99,66,2.24,CA,2020-07-31
68,Saint George,37.1,-113.58,316.15,8,1,7.2,US,2020-07-31
69,Guerrero Negro,27.98,-114.06,302.53,47,0,6.03,MX,2020-07-31
70,Hermanus,-34.42,19.23,284.82,89,1,2.6,ZA,2020-07-31
71,Port Elizabeth,-33.92,25.57,283.15,100,0,1.5,ZA,2020-07-31
72,Yinzhu,35.88,119.98,300.93,94,31,1.0,CN,2020-07-31
73,Jamestown,42.1,-79.24,297.59,64,1,4.6,US,2020-07-31
74,Grindavik,63.84,-22.43,285.15,87,90,7.2,IS,2020-07-31
75,Petropavlovsk-Kamchatskiy,53.05,158.65,292.15,52,50,7.0,RU,2020-07-31
76,Lata,40.16,-8.33,292.15,93,90,3.6,PT,2020-07-31
77,Sambava,-14.27,50.17,294.05,83,39,6.28,MG,2020-07-31
78,Upernavik,72.79,-56.15,279.89,65,70,5.74,GL,2020-07-31
79,Yar-Sale,66.83,70.83,286.03,69,67,2.31,RU,2020-07-31
80,Juba,4.85,31.58,294.08,94,54,0.65,SS,2020-07-31
81,Leskolovo,60.26,30.45,285.37,86,46,3.57,RU,2020-07-31
82,Hatillo,18.49,-66.83,300.93,100,24,6.72,PR,2020-07-31
83,Fairbanks,64.84,-147.72,297.59,41,20,1.5,US,2020-07-31
84,Imeni Poliny Osipenko,52.42,136.49,287.8,97,100,1.91,RU,2020-07-31
85,Puri,19.8,85.85,302.29,84,69,3.57,IN,2020-07-31
86,Nome,64.5,-165.41,288.71,93,90,2.6,US,2020-07-31
87,Dikson,73.51,80.55,286.91,68,76,6.08,RU,2020-07-31
88,Chimbote,-9.09,-78.58,288.98,85,14,2.27,PE,2020-07-31
89,Takoradze,4.88,-1.76,296.72,86,89,4.37,GH,2020-07-31
90,Longyearbyen,78.22,15.64,282.15,87,20,1.41,SJ,2020-07-31
91,Lompoc,34.64,-120.46,294.26,68,5,5.1,US,2020-07-31
92,Modāsa,23.47,73.3,300.75,86,100,2.39,IN,2020-07-31
93,Pangnirtung,66.15,-65.71,285.51,72,80,0.85,CA,2020-07-31
94,Qaanaaq,77.48,-69.36,277.77,69,0,1.97,GL,2020-07-31
95,Makakilo City,21.35,-158.09,304.15,45,75,4.6,US,2020-07-31
96,Kyabé,9.45,18.94,296.05,90,98,1.21,TD,2020-07-31
97,Charters Towers,-20.1,146.27,292.77,58,9,7.86,AU,2020-07-31
98,Clyde River,70.47,-68.59,279.15,100,90,4.6,CA,2020-07-31
99,Honningsvåg,70.98,25.97,283.26,87,60,4.8,NO,2020-07-31
100,Manokwari,-0.87,134.08,301.76,67,98,0.91,ID,2020-07-31
101,Atikokan,48.76,-91.62,299.97,43,0,1.51,CA,2020-07-31
102,Saint-Philippe,-21.36,55.77,294.15,83,40,3.6,RE,2020-07-31
103,São Paulo de Olivença,-3.38,-68.87,298.31,67,10,0.76,BR,2020-07-31
104,Tiznit Province,29.58,-9.5,298.72,50,44,0.73,MA,2020-07-31
105,Phalaborwa,-23.94,31.14,288.15,67,0,1.5,ZA,2020-07-31
106,Klaksvík,62.23,-6.59,285.15,100,93,7.2,FO,2020-07-31
107,Honiara,-9.43,159.95,304.15,70,40,2.1,SB,2020-07-31
108,Zunyi,27.69,106.91,295.98,87,8,1.19,CN,2020-07-31
109,Santa Cruz de Tenerife,28.47,-16.25,292.59,93,90,2.1,ES,2020-07-31
110,Nichinan,31.6,131.37,302.15,70,75,2.1,JP,2020-07-31
111,Manicoré,-5.81,-61.3,299.3,45,3,0.53,BR,2020-07-31
112,George Town,5.41,100.34,298.15,94,20,1.0,MY,2020-07-31
113,Berlevåg,70.86,29.09,282.7,89,100,3.34,NO,2020-07-31
114,Puerto Lempira,15.27,-83.77,300.66,85,95,4.71,HN,2020-07-31
115,Pisco,-13.7,-76.22,289.15,82,90,2.6,PE,2020-07-31
116,Vallenar,-28.57,-70.76,293.36,23,0,0.65,CL,2020-07-31
117,Jiayuguan City,39.82,98.3,292.8,25,0,3.81,CN,2020-07-31
118,Kruisfontein,-34.0,24.73,282.34,88,0,1.59,ZA,2020-07-31
119,Port Macquarie,-31.43,152.92,287.04,75,4,0.45,AU,2020-07-31
120,Balikpapan,-1.27,116.83,296.38,97,100,3.25,ID,2020-07-31
121,Nicoya,10.15,-85.45,305.15,59,91,3.1,CR,2020-07-31
122,Monrovia,6.3,-10.8,297.15,100,75,4.98,LR,2020-07-31
123,Karasburg,-28.02,18.75,287.68,29,0,3.96,NA,2020-07-31
124,Dubbo,-32.25,148.62,281.15,87,0,3.1,AU,2020-07-31
125,Pokaran,26.92,71.92,302.77,64,75,2.99,IN,2020-07-31
126,Bengkulu,-3.8,102.27,296.05,89,74,2.07,ID,2020-07-31
127,Erenhot,43.65,111.98,298.88,18,37,5.84,CN,2020-07-31
128,Atuona,-9.8,-139.03,299.18,74,63,7.41,PF,2020-07-31
129,Dudinka,69.41,86.18,289.15,87,40,6.0,RU,2020-07-31
130,Kaitangata,-46.28,169.85,286.48,72,100,1.34,NZ,2020-07-31
131,Santa Cruz de la Sierra,-17.8,-63.17,295.15,68,3,1.5,BO,2020-07-31
132,Urengoy,65.97,78.37,284.98,81,88,4.05,RU,2020-07-31
133,Walvis Bay,-22.96,14.51,296.48,19,0,3.1,NA,2020-07-31
134,Carnarvon,-24.87,113.63,288.15,72,0,6.7,AU,2020-07-31
135,Bandarbeyla,9.49,50.81,299.03,72,2,13.53,SO,2020-07-31
136,Necochea,-38.55,-58.74,281.6,73,0,1.72,AR,2020-07-31
137,Aykhal,66.0,111.5,291.35,47,0,1.31,RU,2020-07-31
138,Lüderitz,-26.65,15.16,296.15,17,0,5.7,NA,2020-07-31
139,Hithadhoo,-0.6,73.08,301.37,74,100,3.7,MV,2020-07-31
140,Ribeira Grande,38.52,-28.7,294.49,67,15,2.42,PT,2020-07-31
141,Coolum Beach,-26.53,153.1,291.48,72,57,2.68,AU,2020-07-31
142,Paamiut,61.99,-49.67,280.34,93,100,3.46,GL,2020-07-31
143,Fortuna,40.6,-124.16,294.82,68,12,0.89,US,2020-07-31
144,Te Anau,-45.42,167.72,283.44,84,99,0.28,NZ,2020-07-31
145,Gigmoto,13.78,124.39,299.03,84,100,1.94,PH,2020-07-31
146,Ixtapa,20.7,-105.2,303.71,74,90,4.1,MX,2020-07-31
147,Pevek,69.7,170.31,275.31,94,99,2.17,RU,2020-07-31
148,Coos Bay,43.37,-124.22,289.15,82,90,3.6,US,2020-07-31
149,Manavālakurichi,8.13,77.3,299.15,88,75,4.1,IN,2020-07-31
150,Harper,4.38,-7.72,297.18,86,93,5.26,LR,2020-07-31
151,Sørland,67.67,12.69,286.24,91,100,1.76,NO,2020-07-31
152,Naples,40.83,14.25,299.15,83,0,1.0,IT,2020-07-31
153,Salalah,17.02,54.09,301.15,94,75,4.1,OM,2020-07-31
154,Yagodnoye,62.55,149.67,286.95,49,82,1.68,RU,2020-07-31
155,Siocon,7.71,122.14,300.99,74,88,0.98,PH,2020-07-31
156,Key Largo,25.09,-80.45,303.15,1,0,4.92,US,2020-07-31
157,Touros,-5.2,-35.46,297.15,88,20,2.1,BR,2020-07-31
158,Chancay,-11.57,-77.27,289.15,77,90,3.1,PE,2020-07-31
