,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bilma,18.69,12.92,304.91,45,95,2.68,NE,1596239027
1,Busselton,-33.65,115.33,280.37,89,78,2.1,AU,1596239021
2,Malchin,53.73,12.78,287.59,87,21,2.1,DE,1596239028
3,Itupiranga,-5.13,-49.33,299.15,57,5,1.12,BR,1596238910
4,Vardø,70.37,31.11,283.04,91,100,6.34,NO,1596239030
5,Karratha,-20.74,116.85,294.95,23,0,3.4,AU,1596238830
6,Malbork,54.04,19.03,287.04,100,1,3.51,PL,1596239031
7,Kerema,-7.96,145.78,298.25,69,89,4.03,PG,1596239032
8,Rikitea,-23.12,-134.97,296.54,84,100,4.27,PF,1596239032
9,Kloulklubed,7.04,134.26,299.15,94,90,2.6,PW,1596239033
10,New Norfolk,-42.78,147.06,283.71,75,99,0.89,AU,1596239033
11,Si Satchanalai,17.52,99.76,301.15,69,75,2.6,TH,1596239034
12,Vaini,-21.2,-175.2,295.15,73,75,4.6,TO,1596239035
13,Ushuaia,-54.8,-68.3,278.15,52,40,7.7,AR,1596239035
14,Susa,32.19,48.24,304.18,53,0,5.04,IR,1596239036
15,Bethel,41.37,-73.41,300.37,61,1,2.6,US,1596239036
16,Hilo,19.73,-155.09,301.15,61,90,4.1,US,1596239037
17,East London,-33.02,27.91,288.45,60,0,1.46,ZA,1596239038
18,Castro,-24.79,-50.01,283.62,94,43,2.82,BR,1596239038
19,Sitka,57.05,-135.33,302.15,30,1,4.1,US,1596239039
20,Albany,42.6,-73.97,301.48,53,10,1.83,US,1596239039
21,Mataura,-46.19,168.86,286.57,71,100,1.95,NZ,1596238748
22,Barrow,71.29,-156.79,277.15,80,90,2.1,US,1596239041
23,Mount Isa,-20.73,139.5,292.15,22,0,4.1,AU,1596239041
24,Sawākin,19.11,37.33,304.93,56,100,9.97,SD,1596239042
25,Itarema,-2.92,-39.92,298.56,77,51,6.14,BR,1596239042
26,Kavieng,-2.57,150.8,302.41,76,42,5.38,PG,1596239043
27,Cape Town,-33.93,18.42,285.37,100,0,1.0,ZA,1596239043
